# new IOV: since 254290  till 254657
EB= 0.038940  EE= 0.056780


# new IOV: since 254658  till 255235
EB= 0.039798  EE= 0.067370


# new IOV: since 255236  till 256560
EB= 0.038940  EE= 0.056780


# new IOV: since 256561  till 257057
EB= 0.039798  EE= 0.067370


# new IOV: since 257058  till 257384
EB= 0.038940  EE= 0.056780


# new IOV: since 257385  till 259899
EB= 0.039798  EE= 0.067370


# new IOV: since 259900  till 260345
EB= 0.038940  EE= 0.056780


# new IOV: since 260346  till 260452
EB= 0.039798  EE= 0.067370


# new IOV: since 260453  till 260531
EB= 0.038940  EE= 0.056780


# new IOV: since 260532  till 260871
EB= 0.039798  EE= 0.067370


# new IOV: since 260872  till 261086
EB= 0.038940  EE= 0.056780


# new IOV: since 261087  till 261171
EB= 0.039798  EE= 0.067370


# new IOV: since 261172  till 261910
EB= 0.038940  EE= 0.056780


# new IOV: since 261911  till 262331
EB= 0.039798  EE= 0.067370


# new IOV: since 262332  till 262465
EB= 0.038940  EE= 0.056780


# new IOV: since 262466  till 18446744073709551615
EB= 0.039798  EE= 0.067370


